,#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
36,37,Arunachal East,2.0,GEN,Arunachal Pradesh,Ninong Ering,Indian National Congress,312872.0,261291.0,83.5,12478.0,4.8
37,38,Arunachal West,1.0,GEN,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,446515.0,335665.0,75.2,41738.0,12.4
38,39,Asansol,40.0,GEN,West Bengal,Babul Supriya Baral (BABUL SUPRIYO),Bharatiya Janta Party,1469684.0,1142395.0,77.7,70480.0,6.2
39,40,Aska,19.0,GEN,Orissa,Ladu Kishore Swain,Biju Janata Dal,1408780.0,896281.0,63.6,311997.0,34.8
40,41,Attingal,19.0,GEN,Kerala,Dr.A .Sampath,Communist Party Of India (Marxist),1251398.0,859350.0,68.7,69378.0,8.1
41,42,Aurangabad,19.0,GEN,Maharashtra,Chandrakant Bhaurao Khaire,Shiv Sena,1589393.0,982933.0,61.8,162000.0,16.5
42,43,Aurangabad,37.0,GEN,Bihar,Sushil Kumar Singh,Bharatiya Janta Party,1536153.0,786274.0,51.2,66347.0,8.4
43,44,Autonomous District,3.0,ST,Assam,Biren Singh Engti,Indian National Congress,701890.0,543280.0,77.4,24095.0,4.4
44,45,Azamgarh,69.0,GEN,Uttar Pradesh,Mulayam Singh Yadav,Samajwadi Party,1703222.0,960218.0,56.4,63204.0,6.6
45,46,Badaun,23.0,GEN,Uttar Pradesh,Dharmendra Yadav,Samajwadi Party,1769145.0,1027594.0,58.1,166347.0,16.2
46,47,Bagalkot,3.0,GEN,Karnataka,Gaddigoudar Parvtagouda Chandanagouda,Bharatiya Janta Party,1568620.0,1079310.0,68.8,116560.0,10.8
47,48,Baghpat,11.0,GEN,Uttar Pradesh,Dr. Satya Pal Singh,Bharatiya Janta Party,1505175.0,1004263.0,66.7,209866.0,20.9
48,49,Baharampur,10.0,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1453783.0,1154587.0,79.4,356567.0,30.9
49,50,Bahraich,56.0,SC,Uttar Pradesh,Sadhvi Savitri Bai Foole,Bharatiya Janta Party,1638645.0,934263.0,57.0,95645.0,10.2
50,51,Balaghat,15.0,GEN,Madhya Pradesh,Bodhsingh Bhagat,Bharatiya Janta Party,1629769.0,1113364.0,68.3,96041.0,8.6
51,52,Balasore,6.0,GEN,Orissa,Rabindra Kumar Jena,Biju Janata Dal,1366218.0,1049450.0,76.8,141825.0,13.5
52,53,Ballia,72.0,GEN,Uttar Pradesh,Bharat Singh,Bharatiya Janta Party,1768271.0,942211.0,53.3,139434.0,14.8
53,54,Balurghat,6.0,GEN,West Bengal,Arpita Ghosh,All India Trinamool Congress,1254497.0,1063053.0,84.7,106964.0,10.1
54,55,Banaskantha,2.0,GEN,Gujarat,Chaudhary Haribhai Parthibhai,Bharatiya Janta Party,1515711.0,886634.0,58.5,202334.0,22.8
55,56,Banda,48.0,GEN,Uttar Pradesh,Bhairon Prasad Mishra,Bharatiya Janta Party,1601917.0,858326.0,53.6,115788.0,13.5
56,57,Bangalore Central,25.0,GEN,Karnataka,P.C. Mohan,Bharatiya Janta Party,1931663.0,1074589.0,55.6,137500.0,12.8
57,58,Bangalore North,24.0,GEN,Karnataka,D.V Sadananda Gowda,Bharatiya Janta Party,2401472.0,1356718.0,56.5,229764.0,16.9
58,59,Bangalore Rural,23.0,GEN,Karnataka,D K Suresh,Indian National Congress,2190397.0,1455244.0,66.4,231480.0,15.9
59,60,Bangalore South,26.0,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,1999882.0,1113726.0,55.7,228575.0,20.5
60,61,Bangaon,14.0,SC,West Bengal,Kapil Krishna Thakur,All India Trinamool Congress,1540713.0,1283688.0,83.3,146601.0,11.4
61,62,Banka,27.0,GEN,Bihar,Jai Prakash Narayan Yadav,Rashtriya Janata Dal,1549456.0,899353.0,58.0,10144.0,1.1
62,63,Bankura,36.0,GEN,West Bengal,Sreemati Dev Varma (MOON MOON SEN),All India Trinamool Congress,1503812.0,1236319.0,82.2,98506.0,8.0
63,64,Bansgaon,67.0,SC,Uttar Pradesh,Kamlesh Paswan,Bharatiya Janta Party,1760110.0,877877.0,49.9,189516.0,21.6
64,65,Banswara,20.0,ST,Rajasthan,Manshankar Ninama,Bharatiya Janta Party,1692502.0,1171188.0,69.2,91916.0,7.8
65,66,Bapatla,5.0,SC,Andhra Pradesh,Malyadri Sriram,Telugu Desam,1392965.0,1184634.0,85.0,32754.0,2.8
66,67,Bara Banki,53.0,SC,Uttar Pradesh,Priyanka Singh Rawat,Bharatiya Janta Party,1721282.0,1068168.0,62.1,211878.0,19.8
67,68,Baramati,35.0,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,1813543.0,1066556.0,58.8,69719.0,6.5
68,69,Baramulla,1.0,GEN,Jammu & Kashmir,Muzaffar Hussain Baig,Jammu & Kashmir Peoples Democratic Party,1190745.0,465992.0,39.1,29219.0,6.3
69,70,Barasat,17.0,GEN,West Bengal,Dr. Kakali Ghoshdostidar,All India Trinamool Congress,1512792.0,1269331.0,83.9,173141.0,13.6
70,71,Bardhaman Purba,38.0,SC,West Bengal,Sunil Kumar Mondal,All India Trinamool Congress,1532244.0,1320922.0,86.2,114479.0,8.7
71,72,Bardoli,23.0,ST,Gujarat,Vasava Parbhubhai Nagarbhai,Bharatiya Janta Party,1614106.0,1206179.0,74.7,123884.0,10.3
72,73,Bareilly,25.0,GEN,Uttar Pradesh,Santosh Kumar Gangwar,Bharatiya Janta Party,1664081.0,1017891.0,61.2,240685.0,23.6
73,74,Bargarh,1.0,GEN,Orissa,Prabhas Kumar Singh,Biju Janata Dal,1430717.0,1123301.0,78.5,11178.0,1.0
74,75,Barmer,17.0,GEN,Rajasthan,Col. Sona Ram,Bharatiya Janta Party,1677582.0,1219119.0,72.7,87461.0,7.2
75,76,Barpeta,6.0,GEN,Assam,Siraj Uddin Ajmal,All India United Democratic Front,1430175.0,1205863.0,84.3,42341.0,3.5
76,77,Barrackpore,15.0,GEN,West Bengal,Dinesh Trivedi,All India Trinamool Congress,1287222.0,1051130.0,81.7,206773.0,19.7
77,78,Basirhat,18.0,GEN,West Bengal,Idris Ali,All India Trinamool Congress,1490596.0,1273771.0,85.5,109659.0,8.6
78,79,Bastar,10.0,ST,Chhattisgarh,Dinesh Kashyap,Bharatiya Janta Party,1298059.0,769913.0,59.3,124359.0,16.2
79,80,Basti,61.0,GEN,Uttar Pradesh,Harish Chandra Alias Harish Dwivedi,Bharatiya Janta Party,1847613.0,1048534.0,56.8,33562.0,3.2
80,81,Beed,39.0,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,1792650.0,1232202.0,68.7,136454.0,11.1
81,82,Begusarai,24.0,GEN,Bihar,Bhola Singh,Bharatiya Janta Party,1778759.0,1077855.0,60.6,58335.0,5.4
82,83,Belgaum,2.0,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1581017.0,1078547.0,68.2,75860.0,7.0
83,84,Bellary,9.0,ST,Karnataka,B. Sreeramulu,Bharatiya Janta Party,1487945.0,1045772.0,70.3,85144.0,8.1
84,85,Berhampur,20.0,GEN,Orissa,Sidhant Mohapatra,Biju Janata Dal,1334268.0,905362.0,67.9,127720.0,14.1
85,86,Betul,29.0,ST,Madhya Pradesh,Jyoti Dhurve,Bharatiya Janta Party,1607822.0,1047719.0,65.2,328614.0,31.4
86,87,Bhadohi,78.0,GEN,Uttar Pradesh,Virendra Singh,Bharatiya Janta Party,1834598.0,981552.0,53.5,158039.0,16.1
87,88,Bhadrak,7.0,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,1469498.0,1081339.0,73.6,179359.0,16.6
88,89,Bhagalpur,26.0,GEN,Bihar,Shailesh Kumar Urph Bulo Mandal,Rashtriya Janata Dal,1685339.0,974016.0,57.8,9485.0,1.0
89,90,Bhandara - Gondiya,11.0,GEN,Maharashtra,Nanabhau Falgunrao Patole,Bharatiya Janta Party,1656284.0,1197196.0,72.3,149254.0,12.5
90,91,Bharatpur,9.0,SC,Rajasthan,Bahadur Singh,Bharatiya Janta Party,1686897.0,962432.0,57.1,245468.0,25.5
91,92,Bharuch,22.0,GEN,Gujarat,Vasava Mansukhbhai Dhanjibhai,Bharatiya Janta Party,1417548.0,1060211.0,74.8,153273.0,14.5
92,93,Bhatinda,11.0,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1525289.0,1176767.0,77.2,19395.0,1.6
93,94,Bhavnagar,15.0,GEN,Gujarat,Dr. Bharatiben Dhirubhai Shiyal,Bharatiya Janta Party,1594531.0,917402.0,57.5,295488.0,32.2
94,95,Bhilwara,23.0,GEN,Rajasthan,Subhash Baheria,Bharatiya Janta Party,1754877.0,1104090.0,62.9,246264.0,22.3
95,96,Bhind,2.0,SC,Madhya Pradesh,Dr. Bhagirath Prasad,Bharatiya Janta Party,1598169.0,729084.0,45.6,159961.0,21.9
96,97,Bhiwandi,23.0,GEN,Maharashtra,Kapil Moreshwar Patil,Bharatiya Janta Party,1696589.0,875605.0,51.6,109450.0,12.5
97,98,Bhiwani-Mahendragarh,8.0,GEN,Haryana,Dharambir S/o Bhale Ram,Bharatiya Janta Party,1473912.0,1030431.0,69.9,129394.0,12.6
98,99,Bhongir,14.0,GEN,Telangana,Dr. Boora Narsaiah Goud,Telangana Rashtra Samithi,1492251.0,1211943.0,81.2,30494.0,2.5
99,100,Bhopal,19.0,GEN,Madhya Pradesh,Alok Sanjar,Bharatiya Janta Party,1956936.0,1130182.0,57.8,370696.0,32.8
100,101,Bhubaneswar,18.0,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,1527768.0,891822.0,58.4,189477.0,21.2
101,102,Bidar,7.0,GEN,Karnataka,Bhagwanth Khuba,Bharatiya Janta Party,1600962.0,959384.0,59.9,92222.0,9.6
102,103,Bijapur,4.0,SC,Karnataka,Ramesh Jigajinagi,Bharatiya Janta Party,1622635.0,966757.0,59.6,69819.0,7.2
103,104,Bijnor,4.0,GEN,Uttar Pradesh,Kunwar Bhartendra,Bharatiya Janta Party,1562065.0,1060346.0,67.9,205774.0,19.4
104,105,Bikaner,2.0,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,1591068.0,929751.0,58.4,308079.0,33.1
105,106,Bilaspur,5.0,GEN,Chhattisgarh,Lakhan Lal Sahu,Bharatiya Janta Party,1727325.0,1090457.0,63.1,176436.0,16.2
106,107,Birbhum,42.0,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1495108.0,1275819.0,85.3,67263.0,5.3
107,108,Bishnupur,37.0,SC,West Bengal,Khan Saumitra,All India Trinamool Congress,1466921.0,1272070.0,86.7,149685.0,11.8
108,109,Bolangir,10.0,GEN,Orissa,Kalikesh Narayan Singh Deo,Biju Janata Dal,1563025.0,1170405.0,74.9,104299.0,8.9
109,110,Bolpur,41.0,SC,West Bengal,Anupam Hazra,All India Trinamool Congress,1538429.0,1304756.0,84.8,236112.0,18.1
110,111,Bulandshahr,14.0,SC,Uttar Pradesh,Bhola Singh,Bharatiya Janta Party,1736447.0,1009710.0,58.2,421973.0,41.8
111,112,Buldhana,5.0,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1596234.0,978626.0,61.3,159579.0,16.3
112,113,Burdwan - Durgapur,39.0,GEN,West Bengal,Dr. Mamtaz Sanghamita,All India Trinamool Congress,1583498.0,1331242.0,84.1,107331.0,8.1
113,114,Buxar,33.0,GEN,Bihar,Ashwini Kumar Choubey,Bharatiya Janta Party,1640567.0,888204.0,54.1,132338.0,14.9
114,115,Chalakudy,11.0,GEN,Kerala,Innocent,Independent,1150491.0,884033.0,76.8,13884.0,1.6
115,116,Chamarajanagar,22.0,SC,Karnataka,R. Dhruvanarayana,Indian National Congress,1555779.0,1133029.0,72.8,141182.0,12.5
116,117,Chandauli,76.0,GEN,Uttar Pradesh,Dr Mahendra Nath Pandey,Bharatiya Janta Party,1669140.0,980572.0,58.8,156756.0,16.0
117,118,Chandigarh,1.0,GEN,Chandigarh,Kher Kirron Anupam,Bharatiya Janta Party,615214.0,453455.0,73.7,69642.0,15.4
118,119,Chandni Chowk,1.0,GEN,Delhi,Dr. Harsh Vardhan,Bharatiya Janta Party,1447228.0,981863.0,67.8,136320.0,13.9
119,120,Chandrapur,13.0,GEN,Maharashtra,Ahir Hansraj Gangaram,Bharatiya Janta Party,1753690.0,1109743.0,63.3,236269.0,21.3
120,121,Chatra,4.0,GEN,Jharkhand,Sunil Kumar Singh,Bharatiya Janta Party,1312545.0,712971.0,54.3,178026.0,25.0
121,122,Chelvella,10.0,GEN,Telangana,Konda Vishweshwar Reddy,Telangana Rashtra Samithi,2185179.0,1315862.0,60.2,73023.0,5.5
122,123,Chennai Central,4.0,GEN,Tamil Nadu,S.R. Vijayakumar,All India Anna Dravida Munnetra Kazhagam,1328027.0,814894.0,61.4,45841.0,5.6
123,124,Chennai North,2.0,GEN,Tamil Nadu,Venkatesh Babu .T.G,All India Anna Dravida Munnetra Kazhagam,1422386.0,910114.0,64.0,99704.0,11.0
124,125,Chennai South,3.0,GEN,Tamil Nadu,Dr. J. Jayavardhan,All India Anna Dravida Munnetra Kazhagam,1795780.0,1081163.0,60.2,136625.0,12.6
125,126,Chhindwara,16.0,GEN,Madhya Pradesh,Kamal Nath,Indian National Congress,1401277.0,1107498.0,79.0,116537.0,10.5
126,127,Chhota Udaipur,21.0,ST,Gujarat,Ramsinh Rathwa,Bharatiya Janta Party,1536305.0,1100542.0,71.6,179729.0,16.3
127,128,Chidambaram,27.0,SC,Tamil Nadu,"Chandrakasi, M",All India Anna Dravida Munnetra Kazhagam,1366189.0,1088423.0,79.7,128495.0,11.8
128,129,Chikballapur,27.0,GEN,Karnataka,M Veerappa Moily,Indian National Congress,1658342.0,1263274.0,76.2,9520.0,0.8
129,130,Chikkodi,1.0,GEN,Karnataka,Prakash Babanna Hukkeri,Indian National Congress,1442296.0,1071103.0,74.3,3003.0,0.3
130,131,Chitradurga,18.0,SC,Karnataka,B.N.Chandrappa,Indian National Congress,1661272.0,1096499.0,66.0,101291.0,9.2
131,132,Chittoor,6.0,SC,Andhra Pradesh,Naramalli Sivaprasad,Telugu Desam,1452141.0,1198915.0,82.6,44138.0,3.7
132,133,Chittorgarh,21.0,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,1818147.0,1172629.0,64.5,316857.0,27.0
133,134,Churu,3.0,GEN,Rajasthan,Rahul Kaswan,Bharatiya Janta Party,1753825.0,1131104.0,64.5,294739.0,26.1
134,135,Coimbatore,20.0,GEN,Tamil Nadu,"Nagarajan, P.",All India Anna Dravida Munnetra Kazhagam,1720211.0,1176620.0,68.4,42016.0,3.6
135,136,Cooch Behar,1.0,SC,West Bengal,Renuka Sinha,All India Trinamool Congress,1613417.0,1332409.0,82.6,87107.0,6.5
136,137,Cuddalore,26.0,GEN,Tamil Nadu,Arunmozhithevan.A,All India Anna Dravida Munnetra Kazhagam,1247908.0,984538.0,78.9,203125.0,20.6
137,138,Cuttack,14.0,GEN,Orissa,Bhartruhari Mahatab,Biju Janata Dal,1371617.0,978604.0,71.4,306762.0,31.3
138,139,Dadra And Nagar Haveli,1.0,GEN,Dadra & Nagar Haveli,Patel Natubhai Gomanbhai,Bharatiya Janta Party,196617.0,165286.0,84.1,6214.0,3.8
139,140,Dahod,19.0,ST,Gujarat,Jasvantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,1411765.0,900381.0,63.8,230354.0,25.6
140,141,Dakshina Kannada,17.0,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,1565281.0,1207474.0,77.1,143709.0,11.9
141,142,Daman And Diu,1.0,GEN,Daman & Diu,Patel Lalubhai Babubhai,Bharatiya Janta Party,111827.0,87233.0,78.0,9222.0,10.6
142,143,Damoh,7.0,GEN,Madhya Pradesh,Prahalad Singh Patel,Bharatiya Janta Party,1651106.0,912080.0,55.2,213299.0,23.4
143,144,Darbhanga,14.0,GEN,Bihar,Kirti Azad,Bharatiya Janta Party,1495446.0,828342.0,55.4,35043.0,4.2
144,145,Darjeeling,4.0,GEN,West Bengal,S.S.Ahluwalia,Bharatiya Janta Party,1437126.0,1142009.0,79.5,197239.0,17.3
145,146,Dausa,11.0,ST,Rajasthan,Harish Chandra Meena,Bharatiya Janta Party,1524095.0,930492.0,61.1,45404.0,4.9
146,147,Davanagere,13.0,GEN,Karnataka,G M Siddeshwara,Bharatiya Janta Party,1522712.0,1114868.0,73.2,17607.0,1.6
147,148,Deoria,66.0,GEN,Uttar Pradesh,Kalraj Mishra,Bharatiya Janta Party,1806926.0,971557.0,53.8,265386.0,27.3
148,149,Dewas,21.0,SC,Madhya Pradesh,Manohar Untwal,Bharatiya Janta Party,1617215.0,1143968.0,70.7,260313.0,22.8
149,150,Dhanbad,7.0,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,1889994.0,1143902.0,60.5,292954.0,25.6
150,151,Dhar,25.0,ST,Madhya Pradesh,Savitri Thakur,Bharatiya Janta Party,1668441.0,1076816.0,64.5,104328.0,9.7
151,152,Dharmapuri,10.0,GEN,Tamil Nadu,Anbumani Ramadoss,Pattali Makkal Katchi,1358273.0,1101345.0,81.1,77146.0,7.0
152,153,Dharwad,11.0,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1579024.0,1041226.0,65.9,113657.0,10.9
153,154,Dhaurahra,29.0,GEN,Uttar Pradesh,Rekha,Bharatiya Janta Party,1558039.0,1060271.0,68.1,125675.0,11.9
154,155,Dhenkanal,9.0,GEN,Orissa,Tathagata Satpathy,Biju Janata Dal,1363467.0,1042101.0,76.4,137340.0,13.2
155,156,Dhubri,4.0,GEN,Assam,Badruddin Ajmal,All India United Democratic Front,1552554.0,1369624.0,88.2,229730.0,16.8
156,157,Dhule,2.0,GEN,Maharashtra,Dr. Bhamre Subhash Ramrao,Bharatiya Janta Party,1674469.0,983083.0,58.7,130723.0,13.3
157,158,Diamond Harbour,21.0,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1555914.0,1261296.0,81.1,71298.0,5.7
158,159,Dibrugarh,13.0,GEN,Assam,Rameswar Teli,Bharatiya Janta Party,1124305.0,890968.0,79.3,185347.0,20.8
159,160,Dindigul,22.0,GEN,Tamil Nadu,Udhaya Kumar .M,All India Anna Dravida Munnetra Kazhagam,1400531.0,1083364.0,77.4,127845.0,11.8
160,161,Dindori,20.0,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,1530139.0,970182.0,63.4,247619.0,25.5
161,162,Domariyaganj,60.0,GEN,Uttar Pradesh,Jagdambika Pal,Bharatiya Janta Party,1761415.0,935027.0,53.1,103588.0,11.1
162,163,Dum Dum,16.0,GEN,West Bengal,Saugata Roy,All India Trinamool Congress,1405981.0,1132644.0,80.6,154934.0,13.7
163,164,Dumka,2.0,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,1247155.0,903060.0,72.4,39030.0,4.3
164,165,Durg,7.0,GEN,Chhattisgarh,Tamradhwaj Sahu,Indian National Congress,1855781.0,1258342.0,67.8,16848.0,1.3
165,166,East Delhi,3.0,GEN,Delhi,Maheish Girri,Bharatiya Janta Party,1829578.0,1196336.0,65.4,190463.0,15.9
166,167,Eluru,7.0,GEN,Andhra Pradesh,Maganti Venkateswara Rao (BABU),Telugu Desam,1427760.0,1201696.0,84.2,101926.0,8.5
167,168,Ernakulam,12.0,GEN,Kerala,Prof. K.V. Thomas,Indian National Congress,1156467.0,850834.0,73.6,87047.0,10.2
168,169,Erode,17.0,GEN,Tamil Nadu,Selvakumara Chinnayan S,All India Anna Dravida Munnetra Kazhagam,1321395.0,1008582.0,76.3,211563.0,21.0
169,170,Etah,22.0,GEN,Uttar Pradesh,Rajveer Singh (RAJU BHAIYA),Bharatiya Janta Party,1577457.0,926281.0,58.7,201001.0,21.7
170,171,Etawah,41.0,SC,Uttar Pradesh,Ashok Kumar Doharey,Bharatiya Janta Party,1707237.0,939604.0,55.0,172946.0,18.4
171,172,Faizabad,54.0,GEN,Uttar Pradesh,Lallu Singh,Bharatiya Janta Party,1738701.0,1022716.0,58.8,282775.0,27.6
172,173,Faridabad,10.0,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,1740352.0,1130726.0,65.0,466873.0,41.3
173,174,Faridkot,9.0,SC,Punjab,Prof. Sadhu Singh,Aam Aadmi Party,1455075.0,1032107.0,70.9,172516.0,16.7
174,175,Farrukhabad,40.0,GEN,Uttar Pradesh,Mukesh Rajput,Bharatiya Janta Party,1613781.0,970677.0,60.2,150502.0,15.5
175,176,Fatehgarh Sahib,8.0,SC,Punjab,Harinder Singh Khalsa,Aam Aadmi Party,1396957.0,1030954.0,73.8,54144.0,5.3
176,177,Fatehpur,49.0,GEN,Uttar Pradesh,Niranjan Jyoti,Bharatiya Janta Party,1804777.0,1056688.0,58.6,187206.0,17.7
177,178,Fatehpur Sikri,19.0,GEN,Uttar Pradesh,Babulal,Bharatiya Janta Party,1580582.0,967968.0,61.2,173106.0,17.9
178,179,Ferozpur,10.0,GEN,Punjab,Sher Singh Ghubaya,Shiromani Akali Dal,1522111.0,1105412.0,72.6,31420.0,2.8
179,180,Firozabad,20.0,GEN,Uttar Pradesh,Akshay Yadav,Samajwadi Party,1636738.0,1104606.0,67.5,114059.0,10.3
180,181,Gadchiroli-Chimur,12.0,ST,Maharashtra,Ashok Mahadeorao Nete,Bharatiya Janta Party,1469767.0,1027129.0,69.9,236870.0,23.1
181,182,Gandhinagar,6.0,GEN,Gujarat,L.K.Advani,Bharatiya Janta Party,1733972.0,1135495.0,65.5,483121.0,42.5
182,183,Ganganagar,1.0,SC,Rajasthan,Nihalchand,Bharatiya Janta Party,1718421.0,1256806.0,73.1,291741.0,23.2
183,184,Garhwal,2.0,GEN,Uttarakhand,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janta Party,1269083.0,682024.0,53.7,184526.0,27.1
184,185,Gauhati,7.0,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,1922270.0,1511729.0,78.6,315784.0,20.9
